"Band_no","CAVS","COMMON","SCIENTIFIC","BANDING_LOCALITY","LOCODE","BANDING_LAT","BANDING_LON","DATE_BANDED","AGE","SEX","RECOVERY_LOCALITY","LOCODE.1","RECOVERY_LAT","RECOVERY_LON","DATE_RECOVERED","ADESC","STADES","DISTANCE","ELAPSED_MONTHS","BANDER","Box","Batch","Size","Species","Mass",,"Notes","issueYear","bandMetal","bandMetal_BACKFILLED","bandType","initMass","massAsProp","InternDiam","Height","Gauge","Volume","funGroup","typeMeanMass","typeMedianMass","sizeMetalMeanMass","sizeMetalMedianMass","type","sizeMetal","typeSDMass","sizeMetalSDMass"
10002071,221,"Brown Goshawk","Accipiter fasciatus","LANGHORNEC:LANGHORNE CREEK:SA","020876",-35.3,139.0388888889,"22-MAR-1979","FIRST YEAR","FEMALE",":BESIDE RD GAWLER BY-PASS EVANSTON:SA","05923F",-34.6166666667,138.7333333333,"30-JUN-1990","FOUND ON HIGHWAY/ROAD; BUT NOT CERTAINLY HIT BY CAR","WAS DEAD AND THE BAND WAS REMOVED.","81","135","MRS JB PATON (DECEASED)","C04",100,10,"Brown Goshawk",0.8612,,,"NA","NA","AM","10AM",0.87615,0.9829367118,9.5,10,1,95,"Birds of Prey",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10002207,977,"Cattle Egret","Ardea ibis",":3 MILES NW GRAFTON ON CASINO ROAD:NSW","0497X2",-29.65,152.9333333333,"29-DEC-1977","NESTLING","UNKNOWN",":PADDOCK WITHIN 1 KM OF RAYMOND TERRACE:NSW","05434F",-32.7666666667,151.75,"27-NOV-1989","EXHAUSTED","IS ALIVE IN CAPTIVITY AND BAND WAS REMOVED.","363","142","MR JT WILLOWS (DECEASED)","NR",100,10,"Cattle Egret",0.8343,,,"NA","NA","AM","10AM",0.87615,0.9522342065,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10010277,977,"Cattle Egret","Ardea ibis","BALD HILLS:BALD HILLS 15KM NORTH OF BRISBANE  GPO:QLD","089903",-27.3333333333,153.0333333333,"30-DEC-1982","NESTLING","UNKNOWN",":NEAR O'SHEA ROAD WAMURAN:QLD","01129F",-27.0333333333,152.8666666667,"14-NOV-1986","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","37","46","MR DS REIMER","NR",100,10,"Cattle Egret",0.8685,,,"NA","NA","AM","10AM",0.87615,0.9912686184,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10010552,930,"Australian Raven","Corvus coronoides","FARM:'KORALEIGH' 19 KM NORTH WEST OF FINLEY:NSW","03521F",-35.4666666667,145.55,"04-APR-1985","FIRST YR OR OLDER","UNKNOWN","FARM:'KORALEIGH' 19 KM NORTH WEST OF FINLEY:NSW","03521F",-35.4666666667,145.55,"12-MAY-1987","TRAPPED ACCIDENTALLY IN TRAP FOR TERRESTRIAL ANIMALS","WAS MERCY KILLED AND THE BAND WAS REMOVED.","0","25","MR GD THOMAS","NR",100,10,"Australian Raven",0.796,,,"NA","NA","AM","10AM",0.87615,0.9085202306,9.5,10,1,95,"Passerines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10015118,313,"Tawny Frogmouth","Podargus strigoides","EASTBLACK:BLACKHEATH EAST GRID BLOCK:NSW","9993EB",-33.6458333333,150.3125,"02-FEB-1993","FIRST YEAR","UNKNOWN","BLACKHEATH:BLACKHEATH GRID BLOCK:NSW","9993BH",-33.6458333333,150.2708333333,"26-FEB-1993","FOUND SICK OR INJURED","REHABILITATION WAS ATTEMPTED BUT BIRD/BAT DIED, BAND WAS REMOVED.","3","0","THE WILD BIRD REHABILITATION GROUP","C05",100,10,"Tawny Frogmouth",0.8922,,,"NA","NA","AM","10AM",0.87615,1.018318781,9.5,10,1,95,"Other Nonpasserines",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10019493,977,"Cattle Egret","Ardea ibis","SWAMP:MURWILLUMBAH SWAMP, 1KM E OF POST OFFICE:NSW","066101",-28.35,153.4166666667,"27-DEC-1982","NESTLING","UNKNOWN",":PROPERTY AT PIMPAMA:QLD","03048F",-27.8166666667,153.2833333333,"00-   -1988","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","61","Time elapsed cannot be calculated","MR DHG DAVIDSON","NR",100,10,"Cattle Egret",0.8675,,,"NA","NA","AM","10AM",0.87615,0.9901272613,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10020231,977,"Cattle Egret","Ardea ibis","LOWOOD:LOWOOD SE:QLD","091103",-27.4666666667,152.6333333333,"11-DEC-1992","NESTLING","UNKNOWN",":SALE:VIC","CF1208",-38.1,147.0666666667,"00-JUL-1993","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","1291","Time elapsed cannot be calculated","DR NG MCKILLIGAN","NR",100,10,"Cattle Egret",0.8646,,,"NA","NA","AM","10AM",0.87615,0.9868173258,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10026874,977,"Cattle Egret","Ardea ibis","SWAMP:1KM SOUTH EAST MURWILLUMBAH POST OFFICE:NSW","049706",-28.35,153.4166666667,"04-DEC-1988","NESTLING","UNKNOWN",":32 HARDING BLVD MT WARREN PK:QLD","07374F",-27.7166666667,153.2,"15-FEB-1992","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","74","38","MR JT WILLOWS (DECEASED)","NR",100,10,"Cattle Egret",0.8654,,,"NA","NA","AM","10AM",0.87615,0.9877304115,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10027148,977,"Cattle Egret","Ardea ibis","SWAMP:MURWILLUMBAH SWAMP, 1KM E OF POST OFFICE:NSW","066101",-28.35,153.4166666667,"27-DEC-1982","NESTLING","UNKNOWN","KIRRA:KIRRA:QLD","00780F",-28.1666666667,153.5333333333,"28-AUG-1986","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","23","44","MR DHG DAVIDSON","NR",100,10,"Cattle Egret",0.8738,,,"NA","NA","AM","10AM",0.87615,0.9973178109,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
10027158,977,"Cattle Egret","Ardea ibis","SWAMP:MURWILLUMBAH SWAMP, 1KM E OF POST OFFICE:NSW","066101",-28.35,153.4166666667,"27-DEC-1982","NESTLING","UNKNOWN",":LOT 1 COBAKI ROAD COBAKI:NSW","00731F",-28.2,153.4666666667,"29-JUL-1986","FOUND DEAD, CAUSE UNKNOWN","WAS DEAD AND THE BAND WAS REMOVED.","17","43","MR DHG DAVIDSON","NR",100,10,"Cattle Egret",0.8649,,,"NA","NA","AM","10AM",0.87615,0.9871597329,9.5,10,1,95,"Waders, Herons, and Ibises",0.8759642857,0.87615,0.8759642857,0.87615,"AM 100","AM 10",0.0112365875,0.0112365875
