"PREFIX","LO_BAND","LO_BAND_FULL","HI_BAND","HI_BAND_FULL","ORDER_SIZE","METAL","SUPPLIER","QUOTE_NO","QUOTE_REQUEST","QUOTE_IN","ORDER_NO","DATE_BANDS_IN","Reference","Notes","Errors"
"015",,,"25000","01525000",,,,"GEY/01",,,"PW4078","19/05/86","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"015",,,"55000","01555000",,,,"LAM/01",,,"PW6169","02/09/86","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"015",,,"75000","01575000",,,,"LAM/06",,,"PW6613","04/02/87","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"015",,,"99999","01599999",,,,"LAM/07",,,"PW0526/88","17/07/87","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"016",,,"15000","01615000",,,,"LAM/07",,,"PW0526/88","17/07/87","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"016",,,"55000","01655000",,"AY",,"LAM/008",,,"PW1803/89","14/10/88","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"017","00001","01700001","05000","01705000","05000","AY",,"LAM010",,,"01/1102/90","10/05/90","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"017","05001","01705001","48000","01748000","43000","AY",,"LAM011",,,"01/3075/91","00-12-1990","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"017","48001","01748001","58000","01758000","10000","AY",,"LAM012",,,,,"Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"017","58001","01758001","70000","01770000","12000","AY",,,,,"10482/94","31/03/94","Size 01 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"017","70001","01770001","99999","01799999","29999","AY","Lambournes",,"22/09/94","17/10/94","13649/95","03/04/95","Size 01 Bands.pdf",,
"018","00001","01800001","19000","01819000","19000","AY","Lambournes",,"05/12/95","08/12/95","20222/96","11/04/96","Size 01 Bands.pdf",,
"018","19001","01819001","45000","01845000","26000","AY","Lambournes",,"04/12/96","04/12/97","26499/97","19/05/97","Size 01 Bands.pdf",,
"018","45001","01845001","58000","01858000","13000","AY","Lambournes",,"30/09/97","03/10/97","30771/98","27/03/98","Size 01 Bands.pdf",,
"018","58001","01858001","68000","01868000","10000","AY","Lambournes",,"12/06/98","23/06/98","35136/99","17/02/99","Size 01 Bands.pdf",,
"018","68001","01868001","78000","01878000","10000","AY","Lambournes",,"12/04/99","30/04/99",100000830,"17/09/99","Size 01 Bands.pdf",,
"018","78001","01878001","91000","01891000","13000","AY","Lambournes",,"04/04/00",,,"23/08/00","Size 01 Bands.pdf",,
"018","91001","01891001","99999","01899999","09000","AY","WT",,"27/07/01","20/08/01",10004029,"10/10/01","Size 01 Bands.pdf",,
"019","00001","01900001","20000","01920000","20000","AY","WT",,"27/07/01","20/08/01",10004029,"08/01/02","Size 01 Bands.pdf",,
"019","20001","01920001","35000","01935000","15000","AY","WT",,"24/09/02","02/10/02",45023056,"19/02/03","Size 01 Bands.pdf",,
"019","35001","01935001","56000","01956000","21000","AY","WT",,"07/11/03","20/11/03",45027702,,"Size 01 Bands.pdf",,
"019","56001","01956001","66000","01966000","10000","AY","WT",,"17/11/04","19/11/04",45035378,"14/02/05","Size 01 Bands.pdf",,
"019","66001","01966001","84000","01984000","18000","AY","WT",,"29/11/05","30/11/06",15042570,"05/04/06","Size 01 Bands.pdf",,
"019","84001","01984001","93000","01993000","09000","AY","WT",,"20/10/06","21/10/06",45047987,"03/01/07","Size 01 Bands.pdf",,
"019","93001","01993001","99999","01999999","07000","AY","WT",,"29/10/07","30/10/07",45053441,"24/01/08","Size 01 Bands.pdf",,
"01A","00001","01A00001","06000","01A06000","06000","AY","WT",,"29/10/07","30/10/07",45053441,"24/01/08","Size 01 Bands.pdf",,
"01A","06001","01A06001","12000","01A12000","06000","AY","WT",,"10/10/08",,,"23/04/09","Size 01 Bands.pdf",,
"01A","12001","01A12001","28000","01A28000","16000","AY","WT",,"23/12/09",,,"02/06/10","Size 01 Bands.pdf",,
"01A","28001","01A28001","38000","01A38000","10000","AY","WT",,"07/12/10",,1897,"17/06/11","Size 01 Bands.pdf",,
"01A","38001","01A38001","48000","01A48000","10000","AY","WT",,"20/01/11",,1897,"17/06/11","Size 01 Bands.pdf",,
"01A","48001","01A48001","58000","01A58000","10000","AY","WT",,"02/11/11","03/11/11",2047,"01/02/12","Size 01 Bands.pdf",,
"01A","58001","01A58001","88000","01A88000","30000","AY","WT",,"00-11-2012","00-11-2012",,"07/05/13","Size 01 Bands.pdf",,
"01A","88001","01A88001","99999","01A99999","12000","AY","WT",,,,,,"Size 01 Bands.pdf",,
"01C","00001","01C00001","10000","01C10000","10000","AY","WT",,,,,,"Size 01 Bands.pdf",,
"01C","10001","01C10001","20000","01C20000","10000","AY","WT",,"17/10/14",,,,"Size 01 Bands.pdf",,
"01C","20001","01C20001","30000","01C30000","10000","AY","WT",,"03/11/15","10/11/15",,"10/02/16","Size 01 Bands.pdf",,
"023",,,"70000","02370000",,,,"GEY/01",,,"PW4078","19/05/86","Size 02 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"023","70001","02370001","99999","02399999","29999",,,"LAM/01",,,"PW6169","02/09/86","Size 02 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"024","00001","02400001","30000","02430000","30000",,,"LAM/07",,,"PW0526/88","17/07/87","Size 02 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
"024","30001","02430001","70000","02470000","40000","AY",,"LAM/008",,,"PW1803/89","14/10/88","Size 02 Bands.pdf","Field 'date' on pg 2 taken to be 'DATE_BANDS_IN'",
