"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum"
"5",1,"Returned","AY","016","35060","35100",41,0.0371,0.0374,0.0384,"NA","NA","01635060"
"5",1,"Returned","AY","016","92552","92600",49,0.043,0.0432,0.0436,"NA","NA","01692552"
"5",1,"Returned","AY","016","69517","69600",84,0.0431,0.0439,0.0436,"NA","NA","01669517"
"5",1,"Returned","AY","016","67904","68000",97,0.0436,0.0433,0.0434,"NA","NA","01667904"
"5",1,"Returned","AY","016","80301","80400",100,0.0437,0.0439,0.0428,"NA","NA","01680301"
"5",1,"Returned","AY","016","81801","82000",200,0.0432,0.0433,0.044,"NA","NA","01681801"
"5",1,"Returned","AY","016","75461","75500",40,0.0435,0.043,0.0434,"NA","NA","01675461"
"5",1,"Returned","AY","016","80284","80299",16,0.0438,0.0436,0.0429,"NA","NA","01680284"
"5",1,"Returned","AY","016","71735","71797",63,0.0439,0.0437,0.0432,"NA","NA","01671735"
"5",1,"Returned","AY","016","02101","02200",100,0.0387,0.0387,0.0394,"NA","NA","01602101"
"5",1,"Returned","AY","017","54011","54100",90,0.0411,0.0416,0.0416,"NA","NA","01754011"
"5",1,"Returned","AY","017","50204","50400",197,0.0425,0.041,0.0414,"NA","NA","01750204"
"5",1,"Returned","AY","017","55908","55999",92,0.0416,0.0423,0.0419,"NA","NA","01755908"
"5",1,"Returned","AY","017","12941","13000",60,0.0423,0.0421,0.0433,"NA","NA","01712941"
"5",1,"Returned","AY","017","13011","13200",190,0.0426,0.0424,0.0418,"NA","NA","01713011"
"5",1,"Returned","AY","017","29401","29900",500,0.0423,0.0425,0.0427,"NA","NA","01729401"
"5",1,"Returned","AY","017","54101","54600",500,0.0408,0.0407,0.0407,"NA","NA","01754101"
"5",1,"Returned","AY","015","18901","19000",100,0.0405,0.0418,0.0417,"NA","NA","01518901"
"5",1,"Returned","AY","015","99910","99999",90,0.0397,0.0399,0.0377,"NA","NA","01599910"
"5",1,"Returned","AY","015","12406","12500",95,0.0413,0.0419,0.0423,"NA","NA","01512406"
"5",1,"Returned","AY","015","06819","06900",82,0.0393,0.0383,0.0381,"NA","NA","01506819"
"5",1,"Returned","AY","015","87078","87100",23,0.0388,0.0381,0.0386,"NA","NA","01587078"
"5",1,"Returned","AY","015","00701","00800",100,0.0389,0.0393,0.0378,"NA","NA","01500701"
"5",1,"Returned","AY","014","18983","19000",18,0.0403,0.0404,0.0407,"NA","NA","01418983"
"5",1,"Returned","AY","014","23290","23295",6,0.0401,0.0407,0.0403,"NA","NA","01423290"
"5",1,"Returned","AY","014","89491","98491",1,0.0389,"NA","NA","NA","NA","01489491"
"5",1,"Returned","AY","014","73086","73100",15,0.0404,0.0407,0.0406,"NA","NA","01473086"
"5",1,"Returned","AY","018","09308","09393",86,0.0429,0.043,0.043,"NA","NA","01809308"
"5",1,"Returned","AY","018","09401","09499",99,0.0434,0.0432,0.0427,"NA","NA","01809401"
"5",2,"Returned","AY","024","33945","34000",146,0.0484,0.0492,0.0483,"NA","NA","02433945"
"5",2,"Returned","AY","024","06101","06200",100,0.0438,0.0433,0.0438,"NA","NA","02406101"
"5",2,"Returned","AY","024","29201","29300",100,0.0434,0.0443,0.0447,"NA","NA","02429201"
"5",2,"Returned","AY","024","06201","06300",100,0.0436,0.0436,0.043,"NA","NA","02406201"
"5",2,"Returned","AY","024","81746","81800",55,0.0481,0.0479,0.0484,"NA","NA","02481746"
"5",2,"Returned","AY","024","78348","78400",53,0.0482,0.0486,0.048,"NA","NA","02478348"
"5",2,"Returned","AY","024","22423","22423",1,0.0445,"NA","NA","NA","NA","02422423"
"5",2,"Returned","AY","024","11207","11300",87,0.0432,0.0425,0.0435,"NA","NA","02411207"
"5",2,"Returned","AY","024","22501","22600",100,0.0435,0.0434,0.0445,"NA","NA","02422501"
"5",2,"Returned","AY","024","37301","37400",100,0.0479,0.048,0.0483,"NA","NA","02437301"
"5",2,"Returned","AY","025","36123","36200",78,0.0474,0.0473,0.0475,"NA","NA","02536123"
"5",2,"Returned","AY","025","72401","72500",100,0.0458,0.0468,0.0468,"NA","NA","02572401"
"5",2,"Returned","AY","025","01058","01100",43,0.0486,0.0487,0.0482,"NA","NA","02501058"
"5",2,"Returned","AY","025","36301","36800",500,0.0474,0.0477,0.0476,"NA","NA","02536301"
"5",2,"Returned","AY","025","58501","59000",500,0.046,0.0466,0.0471,"NA","NA","02558501"
"5",2,"Returned","AY","025","41901","42000",100,0.0452,0.046,0.046,"NA","NA","02541901"
"5",2,"Returned","AY","025","15207","15300",94,0.0476,0.0472,0.0469,"NA","NA","02515207"
