"Box","Band_no","Species","Mass","Notes"
"C02",05143341,"Peaceful Dove",0.1092,
"C02",05144661,"Peaceful Dove",0.1109,
"C02",05143486,"Peaceful Dove",0.1094,
"C02",05143353,"Peaceful Dove",0.1099,
"C02",05147317,"Peaceful Dove",0.1099,
"C02",06128410,"Peaceful Dove",0.2308,
"C02","K000683","Peaceful Dove",0.0635,
"C02",06204202,"Peaceful Dove",0.1674,
"C02",05174142,"Peaceful Dove",0.1057,
"C02",09104938,"Common Bronzewing",2.2432,
"C02",09089023,"Common Bronzewing",0.7209,
"C02",09089625,"Common Bronzewing",0.7145,
"C02",08192706,"Crested Pigeon",0.6004,
"C02",08274560,"Crested Pigeon",0.779,
"C02",08171869,"Crested Pigeon",0.5977,
"C02",08043277,"Crested Pigeon",0.3045,
"C02",08201009,"Crested Pigeon",0.6052,
"C02",08193504,"Crested Pigeon",0.5959,
"C02",08192327,"Crested Pigeon",0.5965,
"C02",08261606,"Crested Pigeon",0.8687,
"C02",08193651,"Crested Pigeon",0.5907,
"C02",08083064,"Crested Pigeon",0.2914,
"C02",08192378,"Crested Pigeon",0.5991,
"C02",08034177,"Crested Pigeon",0.3053,
"C02",08203493,"Crested Pigeon",0.6169,
"C02",08272388,"Crested Pigeon",0.7867,
"C02",08204112,"Crested Pigeon",0.5978,
"C02",08192215,"Crested Pigeon",0.5708,
"C02",08291483,"Crested Pigeon",0.8047,
"C02",08261317,"Crested Pigeon",0.8671,
"C02",08273459,"Crested Pigeon",0.7801,
"C02",08282152,"Crested Pigeon",0.2993,
"C02",08248866,"Crested Pigeon",0.8327,
"C02",08280112,"Crested Pigeon",0.2975,
"C02",08219550,"Crested Pigeon",0.5846,
"C02",08280094,"Crested Pigeon",0.2862,
"C02",08192048,"Crested Pigeon",0.5932,
"C02",10070803,"Wonga Pigeon",0.8412,
"C02",10070805,"Wonga Pigeon",0.7965,
"C02",08274879,"Buff-banded Rail",0.7788,
"C02",05048140,"White-faced Storm Petrel",0.2885,
"C02",05105426,"White-faced Storm Petrel",0.3239,
"C02",05113130,"White-faced Storm Petrel",0.3135,
"C02",05144374,"White-faced Storm Petrel",0.1107,
"C02",16180174,"Wedge-tailed Shearwater",1.009,
"C02",16197798,"Wedge-tailed Shearwater",1.0232,
"C02",16210261,"Wedge-tailed Shearwater",1.0749,
"C02",16089513,"Wedge-tailed Shearwater",1.0869,
"C02",16145247,"Wedge-tailed Shearwater",0.9969,
"C02",16132505,"Wedge-tailed Shearwater",1.1057,
"C02",16132627,"Wedge-tailed Shearwater",0.9695,
"C02",16145781,"Wedge-tailed Shearwater",1.0357,
"C02",16217624,"Wedge-tailed Shearwater",1.0613,
"C02",16218143,"Wedge-tailed Shearwater",1.0414,
"C02",16148602,"Wedge-tailed Shearwater",1.0084,
"C02",16186541,"Wedge-tailed Shearwater",1.0144,
"C02",16197659,"Wedge-tailed Shearwater",1.0189,
"C02",16148897,"Wedge-tailed Shearwater",1.0132,
"C02",16095471,"Wedge-tailed Shearwater",1.0436,
"C02",16121628,"Wedge-tailed Shearwater",0.9944,
"C02",16061999,"Wedge-tailed Shearwater",1.1272,
"C02",16022667,"Wedge-tailed Shearwater",1.4738,
"C02",16208564,"Wedge-tailed Shearwater",1.0311,
"C02",16135145,"Wedge-tailed Shearwater",1.2462,
"C02",16022659,"Wedge-tailed Shearwater",1.3518,
"C02",16135106,"Wedge-tailed Shearwater",1.4373,
"C02",16202848,"Wedge-tailed Shearwater",1.0237,"*you typed it in as 16202484 instead of 16202848"
"C02",16135154,"Wedge-tailed Shearwater",1.2655,
"C02",16156875,"Wedge-tailed Shearwater",0.9965,
"C02",16160982,"Wedge-tailed Shearwater",1.0075,
"C02",16197706,"Wedge-tailed Shearwater",1.0264,
"C02",16197712,"Wedge-tailed Shearwater",1.0286,
"C02",16197767,"Wedge-tailed Shearwater",1.0271,
"C02",16203091,"Wedge-tailed Shearwater",1.0293,
"C02",16197733,"Wedge-tailed Shearwater",1.0229,
"C02",16197752,"Wedge-tailed Shearwater",1.0296,
"C02",16160990,"Wedge-tailed Shearwater",1.0121,
"C02",16183050,"Wedge-tailed Shearwater",1.0178,
"C02",16191842,"Wedge-tailed Shearwater",1.0311,
"C02",16192136,"Wedge-tailed Shearwater",1.0327,
"C02",16207350,"Wedge-tailed Shearwater",1.0296,
"C02",16137759,"Wedge-tailed Shearwater",1.0937,
"C02",16202679,"Wedge-tailed Shearwater",1.0292,
"C02",16172385,"Wedge-tailed Shearwater",0.9903,
"C02",16172093,"Wedge-tailed Shearwater",0.9957,
"C02",16172483,"Wedge-tailed Shearwater",0.9941,
"C02",08170933,"Wedge-tailed Shearwater",0.2349,
"C02",08171595,"Wedge-tailed Shearwater",0.3153,
"C02",08171400,"Wedge-tailed Shearwater",0.2465,
"C02",08171369,"Wedge-tailed Shearwater",0.248,
"C02",08171576,"Wedge-tailed Shearwater",0.2943,
