"species","guild"
"Brown Goshawk","Birds of Prey"
"Cattle Egret","Waders, Herons, and Ibises"
"Australian Raven","Passerines"
"Tawny Frogmouth","Other Nonpasserines"
"Maned Duck","Ducks, Geese, and Swans"
"Grey Currawong","Passerines"
"Little Crow","Passerines"
"Intermediate Egret","Waders, Herons, and Ibises"
"Wonga Pigeon","Other Nonpasserines"
"Grey Teal","Ducks, Geese, and Swans"
"Whistling Kite","Birds of Prey"
"Pied Oystercatcher","Waders, Herons, and Ibises"
"Brown Falcon","Birds of Prey"
"Southern Boobook","Birds of Prey"
"Lord Howe Island Woodhen","Rails"
"Australian Magpie","Passerines"
"Little Raven","Passerines"
"Torresian Crow","Passerines"
"Barn Owl","Birds of Prey"
"Eurasian Coot","Rails"
"Plumed Whistling-Duck","Ducks, Geese, and Swans"
"Eastern Curlew","Waders, Herons, and Ibises"
"Pacific Black Duck","Ducks, Geese, and Swans"
"Great Egret","Waders, Herons, and Ibises"
"Little Pied Cormorant","Seabirds"
"Nankeen Night Heron","Waders, Herons, and Ibises"
"Kelp Gull","Seabirds"
"Pacific Gull","Seabirds"
"Black Falcon","Birds of Prey"
"Marsh Harrier","Birds of Prey"
"Channel-billed Cuckoo","Other Nonpasserines"
"Peregrine Falcon","Birds of Prey"
"Australian Gannet","Waders, Herons, and Ibises"
"Dusky Moorhen","Rails"
"Black Kite","Birds of Prey"
"Grey Goshawk","Birds of Prey"
"Australian White Ibis","Waders, Herons, and Ibises"
"Brown Booby","Seabirds"
"Australian Shelduck","Ducks, Geese, and Swans"
"Straw-necked Ibis","Waders, Herons, and Ibises"
"Black Faced Shag","Seabirds"
"Pacific Heron","Waders, Herons, and Ibises"
"Black Browed Albatross","Seabirds"
"Great Skua","Seabirds"
"Masked Booby","Seabirds"
"Little Eagle","Birds of Prey"
"Pied Cormorant","Seabirds"
"Royal Spoonbill","Waders, Herons, and Ibises"
"Osprey","Birds of Prey"
"Magpie Goose","Ducks, Geese, and Swans"
"Southern Giant-Petrel","Seabirds"
