"species","scientifics","Size","wearRate","slope","slopeSE","slopeP","N","taxOrder","types","Metal","slopeT"
"Australian Wood Duck","Chenonetta jubata","10",0.096,-0.023,0.004,0.000,19,392,"10 AM","AM",-5.653
"Pacific Black Duck","Anas superciliosa","11",0.019,-0.030,0.004,0.000,60,435,"11 AM","AM",-7.872
"Nankeen Night Heron","Nycticorax caledonicus","11",0.141,"NA","NA","NA",2,2228,"11 AM","AM","NA"
"Cattle Egret","Bubulcus coromandus","10",0.100,-0.003,0.001,0.014,58,2283,"10 AM","AM",-2.525
"Eastern Great Egret","Ardea alba","11",-0.001,"NA","NA","NA",1,2308,"11 AM","AM","NA"
"Intermediate Egret","Ardea intermedia","10",0.067,-0.005,0.002,0.085,4,2313,"10 AM","AM",-3.210
"Masked Booby","Sula dactylatra","13",0.002,0.020,0.036,0.621,5,2400,"13 AM","AM",0.550
"Little Pied Cormorant","Microcarbo melanoleucos","11",-0.019,"NA","NA","NA",1,2417,"11 AM","AM","NA"
"Wedge-tailed Eagle","Aquila audax","15",-0.004,"NA","NA","NA",1,2784,"15 AM","AM","NA"
"Brown Goshawk","Accipiter fasciatus","10",0.001,"NA","NA","NA",1,2898,"10 AM","AM","NA"
"Whistling Kite","Haliastur sphenurus","11",-0.011,"NA","NA","NA",2,3043,"11 AM","AM","NA"
"Silver Gull","Chroicocephalus novaehollandiae",8,0.062,-0.037,0.061,0.600,4,4464,"8 AM","AM",-0.616
"Crested Tern","Thalasseus bergii",7,0.041,-0.023,0.003,0.000,32,4568,"7 AM","AM",-7.782
"Spotted Turtle-Dove","Spilopelia chinensis",8,-0.016,"NA","NA","NA",2,4979,"8 AM","AM","NA"
"Laughing Turtle-Dove","Spilopelia senegalensis",7,-0.028,"NA","NA","NA",2,4985,"7 AM","AM","NA"
"Crested Pigeon","Ocyphaps lophotes",8,-0.013,-0.015,0.003,0.005,6,5104,"8 AM","AM",-5.584
"Wonga Pigeon","Leucosarcia melanoleuca","10",0.098,"NA","NA","NA",2,5124,"10 AM","AM","NA"
"Bar-shouldered Dove","Geopelia humeralis",8,-0.028,"NA","NA","NA",3,5138,"8 AM","AM","NA"
"Southern Boobook","Ninox novaeseelandiae","11",-0.008,"NA","NA","NA",1,6856,"11 AM","AM","NA"
"Tawny Frogmouth","Podargus strigoides","10",0.003,"NA","NA","NA",1,6980,"10 AM","AM","NA"
