"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","Band_1","Band_2","Band_3","Band_4","Band_5","lookupNum","issueYear","bandMetal_fromManufactureRecords","bandMetal_BACKFILLED","groupInit",
"5",1,"Returned","AY",14,"18983","19000",18,0.0403,0.0404,0.0407,"NA","NA",1418983,"NA","NA","AY",0.0420814516,
"5",1,"Returned","AY",14,"23290","23295",6,0.0401,0.0407,0.0403,"NA","NA",1423290,"NA","NA","AY",,
"5",1,"Returned","AY",14,"73086","73100",15,0.0404,0.0407,0.0406,"NA","NA",1473086,"NA","NA","AY",,
"5",1,"Returned","AY",14,"89491","98491",1,0.0389,"NA","NA","NA","NA",1489491,"NA","NA","AY",,
"5",1,"Returned","AY",15,"701","800",100,0.0389,0.0393,0.0378,"NA","NA",1500701,"NA","NA","AY",,
"5",1,"Returned","AY",15,"6819","6900",82,0.0393,0.0383,0.0381,"NA","NA",1506819,"NA","NA","AY",,
"5",1,"Returned","AY",15,"12406","12500",95,0.0413,0.0419,0.0423,"NA","NA",1512406,"NA","NA","AY",,
"5",1,"Returned","AY",15,"18901","19000",100,0.0405,0.0418,0.0417,"NA","NA",1518901,"NA","NA","AY",,
"5",1,"Returned","AY",15,"87078","87100",23,0.0388,0.0381,0.0386,"NA","NA",1587078,"NA","NA","AY",,
"5",1,"Returned","AY",15,"99910","99999",90,0.0397,0.0399,0.0377,"NA","NA",1599910,"NA","NA","AY",,
"5",1,"Returned","AY",16,"2101","2200",100,0.0387,0.0387,0.0394,"NA","NA",1602101,"NA","NA","AY",,
"5",1,"Returned","AY",16,"35060","35100",41,0.0371,0.0374,0.0384,"NA","NA",1635060,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"62001","62010",10,0.0436,0.0435,0.0436,"NA","NA",1662001,"NA","NA","AY",,
"5",1,"Returned","AY",16,"67904","68000",97,0.0436,0.0433,0.0434,"NA","NA",1667904,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"68001","68010",10,0.0434,0.0436,0.0439,"NA","NA",1668001,"NA","NA","AY",,
"5",1,"Returned","AY",16,"69517","69600",84,0.0431,0.0439,0.0436,"NA","NA",1669517,"NA","NA","AY",,
"5",1,"Returned","AY",16,"71735","71797",63,0.0439,0.0437,0.0432,"NA","NA",1671735,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"72001","72010",10,0.0436,0.0435,0.0434,"NA","NA",1672001,"NA","NA","AY",,
"5",1,"Returned","AY",16,"75461","75500",40,0.0435,0.043,0.0434,"NA","NA",1675461,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"78001","78010",10,0.0431,0.043,0.0436,"NA","NA",1678001,"NA","NA","AY",,
"5",1,"Returned","AY",16,"80284","80299",16,0.0438,0.0436,0.0429,"NA","NA",1680284,"NA","NA","AY",,
"5",1,"Returned","AY",16,"80301","80400",100,0.0437,0.0439,0.0428,"NA","NA",1680301,"NA","NA","AY",,
"5",1,"Returned","AY",16,"81801","82000",200,0.0432,0.0433,0.044,"NA","NA",1681801,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"84001","84010",10,0.0434,0.0434,0.0435,"NA","NA",1684001,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"88001","88010",10,0.0432,0.0436,0.0439,"NA","NA",1688001,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"92001","92010",10,0.0432,0.0434,0.0437,"NA","NA",1692001,"NA","NA","AY",,
"5",1,"Returned","AY",16,"92552","92600",49,0.043,0.0432,0.0436,"NA","NA",1692552,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"94001","94010",10,0.0435,0.0439,0.0434,"NA","NA",1694001,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"96001","96010",10,0.0434,0.043,0.0439,"NA","NA",1696001,"NA","NA","AY",,
"NR",1,"Retained","AY",16,"98001","98010",10,0.0431,0.0438,0.0433,"NA","NA",1698001,"NA","NA","AY",,
"5",1,"Returned","AY",17,"12941","13000",60,0.0423,0.0421,0.0433,"NA","NA",1712941,"NA","AY","AY",,
"NR",1,"Retained",,17,"13001","13010",10,0.0421,0.0426,0.0423,"NA","NA",1713001,"NA","AY","AY",,
"5",1,"Returned","AY",17,"13011","13200",190,0.0426,0.0424,0.0418,"NA","NA",1713011,"NA","AY","AY",,
