"Box","Size","IssueState","Metals","Batch","startNum","endNum","numInPacket","measuredMass","lookupNum","issueYear","bandMetal_fromManufactureRecords","bandMetal_BACKFILLED","groupInit","groupSD","groupMedian","type","typeMedian","typeMean","typeSD","sizeMetal","sizeMetalMedian","sizeMetalMean","sizeMetalSD"
"5",1,"Returned","AY",14,18983,19000,18,0.0403,1418983,NA,NA,"AY",0.0420814516,0.0026128598,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,23290,23295,6,0.0401,1423290,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,73086,73100,15,0.0404,1473086,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,89491,98491,1,0.0389,1489491,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,18983,19000,18,0.0404,1418983,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,23290,23295,6,0.0407,1423290,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,73086,73100,15,0.0407,1473086,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,89491,98491,1,NA,1489491,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,18983,19000,18,0.0407,1418983,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,23290,23295,6,0.0403,1423290,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,73086,73100,15,0.0406,1473086,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,89491,98491,1,NA,1489491,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,18983,19000,18,NA,1418983,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,23290,23295,6,NA,1423290,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,73086,73100,15,NA,1473086,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,89491,98491,1,NA,1489491,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,18983,19000,18,NA,1418983,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,23290,23295,6,NA,1423290,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,73086,73100,15,NA,1473086,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",14,89491,98491,1,NA,1489491,NA,NA,"AY",NA,NA,NA,"AY 14",0.0404,0.04031,0.000536345659688477,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,701,800,100,0.0389,1500701,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,6819,6900,82,0.0393,1506819,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
"5",1,"Returned","AY",15,12406,12500,95,0.0413,1512406,NA,NA,"AY",NA,NA,NA,"AY 15",0.0393,0.0396666666666667,0.00155109069784496,"AY 1",0.0429,0.0420814516129032,0.00182196922570835
